Year	Team1Team	Team1Score	Team1Rank	Team1	Team2Team	Team2Score	Team2Rank2	team2	entry	RankDiff	ScoreDiff
1979	Notre Dame	73	1	No. 1 Notre Dame 73	Tennessee	67	8	No. 8 Tennessee 67	SECOND ROUND	-7	6
1979	Indiana St.	86	1	No. 1 Indiana St. 86	Virginia Tech	69	8	No. 8 Virginia Tech 69	SECOND ROUND	-7	17
1979	UCLA	76	1	No. 1 UCLA 76	Pepperdine	71	9	No. 9 Pepperdine 71	SECOND ROUND	-8	5
1979	Arkansas	74	2	No. 2 Arkansas 74	Weber St.	63	7	No. 7 Weber St. 63	SECOND ROUND	-5	11
1979	DePaul	89	2	No. 2 DePaul 89	Southern Cal	78	7	No. 7 Southern Cal 78	SECOND ROUND	-5	11
1979	Michigan St.	95	2	No. 2 Michigan St. 95	Lamar	64	10	No. 10 Lamar 64	SECOND ROUND	-8	31
1979	Marquette	73	3	No. 3 Marquette 73	Pacific	48	6	No. 6 Pacific 48	SECOND ROUND	-3	25
1979	Louisville	69	3	No. 3 Louisville 69	South Alabama	66	6	No. 6 South Alabama 66	SECOND ROUND	-3	3
1979	Louisiana St.	71	3	No. 3 Louisiana St. 71	Appalachian St.	57	6	No. 6 Appalachian St. 57	SECOND ROUND	-3	14
1979	Syracuse	89	4	No. 4 Syracuse 89	Connecticut	81	5	No. 5 Connecticut 81	SECOND ROUND	-1	8
1979	San Francisco	86	4	No. 4 San Francisco 86	BYU	63	5	No. 5 BYU 63	SECOND ROUND	-1	23
1979	Oklahoma	90	5	No. 5 Oklahoma 90	Texas	76	4	No. 4 Texas 76	SECOND ROUND	1	14
1979	Toledo	74	5	No. 5 Toledo 74	Iowa	72	4	No. 4 Iowa 72	SECOND ROUND	1	2
1979	Rutgers	64	6	No. 6 Rutgers 64	Georgetown	58	3	No. 3 Georgetown 58	SECOND ROUND	3	6
1979	Southern Cal	86	7	No. 7 Southern Cal 86	Utah St.	67	10	No. 10 Utah St. 67	FIRST ROUND	-3	19
1979	Weber St.	81	7	No. 7 Weber St. 81	New Mexico St.	78	10	No. 10 New Mexico St. 78	FIRST ROUND	-3	3
1979	Virginia Tech	70	8	No. 8 Virginia Tech 70	Jacksonville	53	9	No. 9 Jacksonville 53	FIRST ROUND	-1	17
