Team,Conference,IDNumber,id,name
Dayton,A-10,1,569,Dayton
Duquesne,A-10,2,578,Duquesne
Fordham,A-10,3,596,Fordham
George Mason,A-10,4,602,George Mason
George Washington,A-10,5,599,G Washington
La Salle,A-10,6,641,La Salle
Massachusetts,A-10,7,663,Massachusetts
Rhode Island,A-10,8,741,Rhode Island
Richmond,A-10,9,743,Richmond
Saint Louis,A-10,10,780,St Louis
St. Bonaventure,A-10,11,775,St Bonaventure
St. Joseph's (PA),A-10,12,779,St Joseph's PA
Virginia Commonwealth,A-10,13,825,VA Commonwealth
Boston College,ACC,14,527,Boston College
Clemson,ACC,15,551,Clemson
Duke,ACC,16,577,Duke
Florida State,ACC,17,595,Florida St
Georgia Tech,ACC,18,606,Georgia Tech
Maryland,ACC,19,662,Maryland
Miami (FL),ACC,20,668,Miami FL
NC State,ACC,21,695,NC State
North Carolina,ACC,22,708,North Carolina
Notre Dame,ACC,23,717,Notre Dame
Pittsburgh,ACC,24,731,Pittsburgh
Syracuse,ACC,25,786,Syracuse
Virginia,ACC,26,830,Virginia
Virginia Tech,ACC,27,831,Virginia Tech
Wake Forest,ACC,28,839,Wake Forest
Albany,America East,29,507,Albany NY
Binghamton,America East,30,524,Binghamton
Hartford,America East,31,611,Hartford
Maine,America East,32,657,Maine
Maryland-Baltimore County,America East,33,813,UMBC
New Hampshire,America East,34,700,New Hampshire
Stony Brook,America East,35,785,Stony Brook
UMass-Lowell,America East,36,656,MA Lowell
Vermont,America East,37,828,Vermont
Cincinnati,American Athletic,38,549,Cincinnati
Connecticut,American Athletic,39,559,Connecticut
Houston,American Athletic,40,617,Houston
Louisville,American Athletic,41,651,Louisville
Memphis,American Athletic,42,666,Memphis
Rutgers,American Athletic,43,746,Rutgers
South Florida,American Athletic,44,771,South Florida
Southern Methodist,American Athletic,45,767,SMU
Temple,American Athletic,46,789,Temple
UCF,American Athletic,47,809,UCF
East Tennessee State,Atlantic Sun,48,586,ETSU
Florida Gulf Coast,Atlantic Sun,49,591,FL Gulf Coast
Jacksonville,Atlantic Sun,50,633,Jacksonville
Kennesaw State,Atlantic Sun,51,638,Kennesaw
Lipscomb,Atlantic Sun,52,646,Lipscomb
Mercer,Atlantic Sun,53,667,Mercer
North Florida,Atlantic Sun,54,710,North Florida
Northern Kentucky,Atlantic Sun,55,691,N Kentucky
Stetson,Atlantic Sun,56,784,Stetson
USC Upstate,Atlantic Sun,57,760,SC Upstate
Baylor,Big 12,58,521,Baylor
Iowa State,Big 12,59,629,Iowa St
Kansas,Big 12,60,636,Kansas
Kansas State,Big 12,61,637,Kansas St
Oklahoma,Big 12,62,721,Oklahoma
Oklahoma State,Big 12,63,722,Oklahoma St
TCU,Big 12,64,788,TCU
Texas,Big 12,65,793,Texas
Texas Tech,Big 12,66,796,Texas Tech
West Virginia,Big 12,67,843,West Virginia
Butler,Big East,68,535,Butler
Creighton,Big East,69,562,Creighton
DePaul,Big East,70,573,DePaul
Georgetown,Big East,71,603,Georgetown
Marquette,Big East,72,660,Marquette
Providence,Big East,73,737,Providence
Seton Hall,Big East,74,764,Seton Hall
St. John's,Big East,75,778,St John's
Villanova,Big East,76,829,Villanova
Xavier,Big East,77,853,Xavier
Eastern Washington,Big Sky,78,582,E Washington
Idaho State,Big Sky,79,621,Idaho St
Montana,Big Sky,80,680,Montana
Montana State,Big Sky,81,681,Montana St
North Dakota,Big Sky,82,709,North Dakota
Northern Arizona,Big Sky,83,713,Northern Arizona
Northern Colorado,Big Sky,84,688,N Colorado
Portland State,Big Sky,85,733,Portland St
Sacramento State,Big Sky,86,566,CS Sacramento
Southern Utah,Big Sky,87,774,Southern Utah
Weber State,Big Sky,88,842,Weber St
Campbell,Big South,89,540,Campbell
Charleston Southern,Big South,90,545,Charleston So
Coastal Carolina,Big South,91,553,Coastal Car
Gardner-Webb,Big South,92,601,Gardner Webb
High Point,Big South,93,614,High Point
Liberty,Big South,94,645,Liberty
Longwood,Big South,95,649,Longwood
North Carolina-Asheville,Big South,96,814,UNC Asheville
Presbyterian,Big South,97,735,Presbyterian
Radford,Big South,98,740,Radford
Virginia Military Institute,Big South,99,832,VMI
Winthrop,Big South,100,848,Winthrop
Illinois,Big Ten,101,623,Illinois
Indiana,Big Ten,102,625,Indiana
Iowa,Big Ten,103,628,Iowa
Michigan,Big Ten,104,670,Michigan
Michigan State,Big Ten,105,671,Michigan St
Minnesota,Big Ten,106,673,Minnesota
